Saite uz resursu,Klase,Tēma,Nodarbība,Aktivitāte,Resursa nosaukums,Resursa apraksts,Resursa veids,Resursa apskates ilgums,Resursa veidotājs,Skola2030 vērtības,Skola2030 tikumi,"""e-TAP"" vērtības","""e-TAP"" tikumi",Komentāri
https://www.delfi.lv/calis/enciklopedija/kapec-biezi-jamazga-rokas-uzskatams-fizikas-eksperiments-berniem.d?id=51968575  ,Pirmsskola (5 gadi),Mana veselība,1. nodarbība: Tīras rokas,1. aktivitāte. Roku mazgāšana.,Kāpēc bieži jāmazgā rokas? Uzskatāms fizikas eksperiments bērniem ,"Kā bērniem vīrusu draudu laikā parādīt, ka rokas ir jāmazgā, turklāt ļoti bieži? Šim darbiņam var noderēt vienkāršs fizikas eksperiments – bērnam vien jāiemērc ""mikrobu"" pilnā traukā pirkstiņš, lai to uzskatāmi redzētu.",Video - eksperiments.;,1,www.delfi.lv,dzīvība (veselība) ,centība; gudrība ,atbildība ,atvērtība jaunajam; radošums; pašvadība ,
https://www.draudzigsinternets.lv/bernu-drosiba-interneta/ ,Pirmsskola (6 gadi),Drošība Internetā,3. nodarbība: Personīgās informācijas turēšana drošībā,Papildmateriāli,Bērnu drošība internetā ,"Uzvedības noteikumi un principi, kas bērniem jāievero izmantojot internetu. ","Mājas lapa
;",0,www.draudzigsinternets.lv,cieņa; brīvība ,atbildība; gudrība ,atbildība ,attapība; pašvadība ,
https://www.dzirkstele.lv/vietejas-zinas/viltus-zinu-veidi-ko-par-tiem-zinam-164708,3. klase,Viltus ziņas,1. nodarbība: Kas ir viltus ziņas?,, Viltus ziņu veidi: ko par tiem zinām?,Raksts par vilstus ziņu atpazīšanu un citiem ieteikumiem (2018),Raksts;,5,dzirkstele.lv,cieņa ,godīgums; gudrība ,cieņa; atbildība; patiesība ,zinātkāre; kritiskā spriestspēja; attapība ,
https://www.esparveselibu.lv/sites/default/files/2019-12/VeselsBerns_web_0.pdf,2. klase,Kaitīgas vielas,1. nodarbība: Kas ir kaitīgas vielas?,Papildmateriāli,"Veselības ministrijas materiāls ""Vesels bērns""",Informatīvs materiāls izglītības iestāžu pedagogiem par veselības izglītības jautājumiem 1.-6. klasei,Informatīvais materiāls pdf;,15,Veselības ministrija,dzīvība (veselība); brīvība ,atbildība; gudrība; mērenība; savaldība ,rūpes; brīvība; atbildība; harmonija ,pārliecinātība; apņēmīgums; pazemība; kritiskā spriestspēja; pašiedziļināšanās; pašvadība ,
https://www.esparveselibu.lv/sites/default/files/2019-12/VeselsBerns_web_0.pdf,1. klase,Uzturs,1. nodarbība: Kas ir sabalansēts uzturs?,Tikumu praktizēšanas iespējas,Vesels bērns,"Informatīvs materiāls izglītības iestāžu pedagogiem par veselības izglītības jautājumiem. Sk. tēmu ""Atkarību izraisošās vielas un procesi” (62.-99. lpp.).",PDF - informatīvs materiāls;,0,Veselības ministrija,dzīvība (veselība) ,atbildība; gudrība ,rūpes; atbildība ,kritiskā spriestspēja; zinātkāre; pašvadība ,"Aktuālākā sadaļa ""Veselīgs uzturs"" skatāma 7.-26. lpp. "
https://www.esparveselibu.lv/sites/default/files/2019-12/VeselsBerns_web_0.pdf ,Pirmsskola (5 gadi),Mana veselība,2. nodarbība: Veselīgs uzturs,Tikumu praktizēšanas iespējas,Informatīvs materiāls izglītības iestāžu pedagogiem par veselības izglītības jautājumiem no 1. līdz 6. klasei,Informatīvs materiāls izglītības iestāžu pedagogiem par veselības izglītības jautājumiem No 1. līdz 6. klasei,Informatīvs materiāls izglītības iestāžu pedagogiem;,0,Veselības ministrija,dzīvība (veselība) ,gudrība; mērenība ,atbildība ,pašiniciatīva; pārliecinātība; neatlaidība (noturība) ,
https://www.facebook.com/watch/?v=294471068505733,9. klase,Garīgā veselība,2. nodarbība: Pašcieņa,3. aktivitāte. Liecības ,"""Dzīvei nav melnraksta"" : Gatis Caunītis","Intervijā Gatis Caunītis stāsta par savu dzīvi pēc tam, kad amputētas abas rokas. ","Video - intervija, saruna
;",8,LTV Ziņu dienests ,dzīvība (veselība); brīvība ,drosme; godīgums ,cilvēks kā persona; brīvība; patiesība ,pateicīgums; apņēmīgums; pazemība ,
https://www.facebook.com/watch/?v=530748801616981,9. klase,Veselīgas attiecības,1. nodarbība: Pārvarēt sēras,4. aktivitāte. Inese Prisjolkova - alternatīva,"""Dzīvei nav melnraksta"". Anete Bendika","Anete Bendika ir jauna sieviete, divu dēlu mamma. Un viens no dēliem – Hermanis ir mūžīgais bērns ar smagu invaliditāti. Sākotnēji bez aizdomām, ka kaut kas var būt ne tā, tad ilgstošs ceļš līdz diagnozes noteikšanai un tagad katru dienu nemitīgs darbs, rūpējoties par Hermani un viņa dzīves kvalitāti.","Video - intervija, saruna
;",16,LTV Ziņu dienests ,dzīvība (veselība); ģimene ,atbildība; drosme ,rūpes; mīlestība; atbildība ,atklātība; apņēmīgums; neatlaidība (noturība) ,
https://www.filmas.lv/movie/1338/,9. klase,Veselīgas attiecības,2. nodarbība: Eksistenciālie jautājumi,"4. aktivitāte. Kas ietekmē, nosaka, palīdz izdarīt izšķirošas izvēles? ",Nāves ēnā,"Filma pēc Rūdolfa Blaumaņa noveles. 19. gadsimta beigas Latvijā. Atlūzis ledus gabals nes četrpadsmit zvejniekus un viņu pajūgus arvien tālāk jūrā. Tikai piektās dienas rītā pie apvāršņa parādās igauņu laiva, bet tajā visi nevar sakāpt – trijiem jāpaliek uz ledus, tāpēc zvejnieki velk lozes.",Video - mākslas filma;,10,Rīgas kinostudija,dzīvība (veselība); kultūra ,drosme ,atbildība ,pārliecinātība ,
https://www.izglitiba.daugavpils.lv/Media/Default/file/=2012/BIC/180207_Inform_materials_I_love.pdf  ,Pirmsskola (5 gadi),Palīdzība,1. nodarbība: Kurš var mums palīdzēt?,Papildmateriāli,Pilsoniskā un patriotiskā audzināšana,Informatīvais materiāls vecākiem bērnu pilsoniskajā un patriotiskajā audzināšanā.,Informatīvs materiāls;,0,Kristīna Ivancova,Latvijas valsts; cieņa ,laipnība; gudrība ,rūpes; atbildība ,zinātkāre; pateicīgums ,
https://www.jw.org/lv/b%C4%ABbeles-m%C4%81c%C4%ABbas/jaunie%C5%A1iem/anim%C4%81cija-video/nepadodies-vienaud%C5%BEu-spiedienam/,9. klase,Veselīgas attiecības,3. nodarbība: Vienaudžu izdarītais spiediens,2. aktivitāte. Nepakļaušanās vienaudžu izdarītajam spiedienam ,Nepadodies vienaudžu spiedienam!,"Skolēni var uzzināt, kas var palīdzēt pretoties vienaudžu spiedienam.","Video - multiplikācijas īsfilma
;",4,Jehovas liecinieki,dzīvība (veselība); brīvība ,drosme; godīgums; atbildība ,cilvēks kā persona; rūpes; atbildība; brīvība; miers ,pārliecinātība; neatlaidība (noturība); kritiskā spriestspēja; atklātība ,
https://www.jw.org/lv/b%C4%ABbeles-m%C4%81c%C4%ABbas/jaunie%C5%A1iem/anim%C4%81cija-video/nepadodies-vienaud%C5%BEu-spiedienam/,3. klase,Vienaudžu spiediens,1. nodarbība: Kas ir vienaudžu izdarītais spiediens?,,Animācijas filma “Nepadodies vienaudžu spiedienam!”,"Animācijas filmiņa, kur skolēni var uzzināt, kas var palīdzēt pretoties vienaudžu spiedienam. Atraktīvi izveidota","Video - multiplikācijas īsfilma
;",4,jw.org,brīvība; cieņa ,taisnīgums; godīgums; gudrība; drosme ,cilvēks kā persona; cieņa; atbildība; miers; saskaņa ,pārliecinātība; apņēmīgums; kritiskā spriestspēja; pašvadība ,
https://www.la.lv/95-gadu-vecuma-miris-nelsons-mandela,5. klase,Kopienas,"2. nodarbība: Kopiena, daudzveidība un dažādība",Alternatīva 4. aktivitātei: Cilvēks-morāla autoritāte ,95 gadu vecumā miris Nelsons Mandela,raksts par Nelsonu Mandelu pēc viņa nāves ar svarīgākajiem viņa sasniegumiem dzīves laikā,Raksts;,4,la.lv,brīvība; cieņa; kultūra ,taisnīgums; tolerance; solidaritāte; drosme ,cilvēks kā persona; cieņa; mīlestība; brīvība; saskaņa ,izpalīdzība; pašiniciatīva; pārliecinātība; neatlaidība (noturība); apņēmīgums ,
https://www.labdaribasfaktors.lv/top-5-labdaribas-organizacijas-pasaule/,3. klase,Brīvprātīgais darbs,1. nodarbība: Kāpēc cilvēki veic brīvprātīgo darbu?,Ierosme. Labdarības organizāciju logotipi , Top 5 labdarības organizācijas pasaulē,"Saraksts ar organizācijām, kuras ir veiksmīgi sevi pierādījušas un kļuvušas kā paraugs citām šādām organizācijām. ","Mājas lapa
;",5,Labdarības faktors,cieņa; Latvijas valsts ,taisnīgums; līdzcietība; solidaritāte; laipnība ,cilvēks kā persona; rūpes; mīlestība; atbildība; saskaņa ,izpalīdzība; dāsnums; līdzdalīgums; spēja sadarboties ,
https://www.laikmetazimes.lv/2015/05/11/alberts-sveicers-1dala-filozofs-teologs-humanists/,7. klase,Brīvprātīgais darbs,2. nodarbība: Kā brīvprātīgais darbs var mani pilnveidot?,2. aktivitāte. Cilvēks-morālā autoritāte ,Laikmeta zīmes,Interneta vietne “Laikmeta zīmes” ir hobijžurnālista Ervīna Jākobsona veidots un rediģēts blogs. Informācija par A. Šveiceru.,Biogrāfija;,2,Laikmeta zīmes,darbs; ģimene ,atbildība; centība; drosme; gudrība ,cilvēks kā persona; rūpes; atbildība; patiesība; harmonija ,izpalīdzība; līdzjūtība; dāsnums; pašiniciatīva; neatlaidība (noturība); apņēmīgums; atklātība ,
https://www.lia.lv/lv/info/drosaka-interneta-centrs,2. klase,Kiberterorizēšana,2. nodarbība - Kā kiberterorizēšana mūs ietekmē?,noslēguma apspriede: kur saņemt palīdzību,Drošāka interneta centra mājas lapa,"Informācija par Latvijas Drošāka interneta centru un to darbības virzieniem:  IZGLĪTOŠANAS DARBS (drossinternets.lv), ZIŅOJUMU LĪNIJA (par atklātajiem pārkāpumiem un nelegālu saturu internetā) un UZTICĪBAS TĀLRUNIS (nodrošina Valsts bērnu tiesību aizsardzības inspekcija)","Mājas lapa
;",4,Latvijas interneta asociācija,cieņa ,taisnīgums; atbildība; gudrība ,drošība; cieņa; rūpes; atbildība; miers ,izpalīdzība; kritiskā spriestspēja ,
https://www.lsm.lv/raksts/zinas/latvija/datorspelu-razotaji-izmanto-pat-azartspelu-biznesa-elementus-sankciju-nav.a297493/ ,9. klase,Tiešsaistes atkarības,1. nodarbība: Tiešsaistes azartspēles un atkarība,2. aktivitāte. Atkarība ,Aizliegtais paņēmiens. Operācija: «Fortnite»,"Raidījumā tiek analizēts kā datorspēļu ražotāji izmanto pat azartspēļu biznesa elementus, taču sankciju par to nav.","Video - dokumentāla filma
;",5,LTV,dzīvība (veselība) ,mērenība; atbildība; gudrība ,atbildība ,kritiskā spriestspēja; pašvadība; attapība ,
https://www.lsm.lv/smadzenu-skalotava,3. klase,Viltus ziņas,2. nodarbība: Kas padara žurnālistu tikumīgu?,2. aktivitāte. Būt par žurnālistu ,"Spēle ""Smadzeņu skalotavas"" ","Skolēni izvēlas vienu no četrām lomām, atlasa attēlus, kurus savā sociālajā medijā varētu publicēt izvēlētais tēls, spēles beigās uzzina, vai atbilst savai izvēlētajai lomai","Tiešsaistes spēle - cits
;",12,lsm.lv,cieņa; Latvijas valsts; kultūra ,taisnīgums; godīgums; gudrība ,cieņa; patiesība; atbildība ,zinātkāre; kritiskā spriestspēja; attapība ,
https://www.parprof.lv/,2. klase,Karjera,"2. nodarbība: Vai ir tādi darbi, kas paredzēti zēniem vai meitenēm?",2. aktivitāte. Vienādojums ar nezināmajiem,"TV ziņas - sižets ""Spēj viņa = spēj viņš""","Spēle profesiju iepazīšanai. par dažādām prasmēm, zināšanām, īpašībām, darba apstākļiem un instrumentiem, kas nepieciešami katrā profesijā. Spēli uztur VIAA 2 sadaļas - profesijas un kompass. Var izmantot, lai pārrunātu vairāk piemēru par profesiju stereotipiem","Tiešsaistes spēle - cits
;",15,VIAA,darbs ,līdzcietība; atbildība; gudrība ,atbildība; cieņa ,pašiniciatīva; atvērtība jaunajam; apņēmīgums; zinātkāre ,
https://www.profesijupasaule.lv/,2. klase,Karjera,3. nodarbība: Kādu darbu es varētu strādāt?,,"Mājas lapa ""Profesiju pasaule"" ",Mājas lapa ar noderīgiem resursiem un saitēm par profesijām. Lapas cilnes: Meklēšana; Uzņēmumu saraksts; Profesiju saraksts; Resursu saraksts. Citas mājas lapas sadaļas: Kā izvēlēties izglītības iestādi; Izpēti profesiju pats!; Uzdod jautājumu e-konsultantam!; Iepazīsti profesiju dažādību! u.c.,"Mājas lapa
;",5,VIAA,darbs ,atbildība ,atbildība ,atvērtība jaunajam; zinātkāre; kritiskā spriestspēja; pašiedziļināšanās ,
https://www.redcross.lv/jauniesi/kas-mes-esam/,7. klase,Brīvprātīgais darbs,2. nodarbība: Kā brīvprātīgais darbs var mani pilnveidot?,1. aktivitāte. Jaunatnes sociālā darbība ,Latvijas Sarkanā Krusta Jaunatne,"Mājaslapā iespējams noskatīties video par LSKJ, kura apvieno jauniešus vecumā no 13 līdz  ~30 gadiem.","Mājas lapa
;Video - dokumentāla filma
;",3,Latvijas Sarkanais Krusts,brīvība; darbs ,atbildība; drosme; centība ,atbildība; brīvība ,izpalīdzība; pašiniciatīva; atvērtība jaunajam; apņēmīgums; līdzdalīgums ,
https://www.skalbes.lv/,8. klase,Veselīgas attiecības,1. nodarbība: Emocionālā veselība,4. aktivitāte. Labklājības forums ,"Krīžu un konsultāciju centrs ""Skalbes""","Krīžu un konsultāciju centra ""Skalbes"" mājaslapa. Tajā ietverta informācija, kādos gadījumos jaunieši var vērsties, ja nonākuši grūtā situācijā.","Mājas lapa
;",3,"Krīžu un konsultāciju centrs ""Skalbes""",dzīvība (veselība); darbs ,drosme ,cilvēks kā persona; rūpes; miers; patiesība ,pašiniciatīva; atvērtība jaunajam; atklātība ,
https://www.skolanakotnei.lv/,7. klase,Viltus ziņas,1. nodarbība: Kas ir viltus ziņas?,3. aktivitāte. Viltus ziņu atpazīšana ,Solve for Tomorrow,"Mājaslapā iespējams iepazīties ar informāciju par idejām un pieredzēm, kas palīdzētu sabiedrībai pandēmijas laikā un pēc tās atgūt līdzsvaru starp tiešsaistes un bezsaistes dzīvi. Mājaslapā pieejami dažādi video materiāli.","Mājas lapa
;",5,Samsung Electronics Baltics,dzīvība (veselība); ģimene; darbs ,atbildība; mērenība; gudrība ,rūpes; atbildība; saskaņa ,līdzdalīgums; spēja sadarboties; kritiskā spriestspēja; pašiniciatīva ,
https://www.spkc.gov.lv/lv/aktiva-ik-diena,3. klase,Fiziskās aktivitātes,1. nodarbība: Kāpēc ir jāsporto?,2. aktivitāte. Dažādi fizisko aktivitāšu veidi ,Sabiedrības informēšanas kampaņu „Aktīva ik diena!”,2015. gadā Veselības ministrija un Slimību profilakses un kontroles centrs īstenoja sabiedrības informēšanas kampaņu „Aktīva ik diena!”. Kampaņas uzdevums bija aktualizēt fizisko aktivitāšu nozīmi veselības saglabāšanā. Mājas lapas sadaļas: Veselības maršruti; Sportiskais randiņš; Informatīvi materiāli; Vingrojumu kompleksi; Fizisko aktivitāšu tests,"Mājas lapa
;",10,"SPKC, Veselības ministrija",dzīvība (veselība) ,centība; atbildība ,brīvība; atbildība; daba; harmonija ,pašiniciatīva; neatlaidība (noturība); pašvadība ,
https://www.vestnesis.lv/ta/id/18374 ,6. klase,Nauda,1. nodarbība: Vēlmes un vajadzības,3. aktivitāte. Cilvēks-morālā autoritāte ,Latviešu pēdas rīta zemē Indijā. Reiz un tagad.,Biogrāfijā iespējams iepazīties ar Annas Irbes dzīvesgājumu.,Biogrāfija;,4,Latvijas Vēstnesis,kultūra; Latvijas valsts ,gudrība ,cilvēks kā persona; rūpes; brīvība ,līdzjūtība; pašiniciatīva; atvērtība jaunajam; apņēmīgums; pazemība ,
https://www.viaa.gov.lv/lv/ilustrativie-materiali,2. klase,Karjera,3. nodarbība: Kādu darbu es varētu strādāt?,,"Ilustratīvie materiāli, infografikas karjeras atbalstam","apmēram 20 infogrāfikas par šādām tēmām: Vienlīdzīgas karjeras iespējas sievietēm un vīriešiem, karjeras orientēšanās karte, kā plānot karjeru, kā iepazīt profesiju, kas Tev jāuzzin par sevi, lai veiksmīgi plānotu karjeru, iepazīsti savu profesiju (lidmašīnas trafarets) u.c. ","Attēls / plakāts
;",5,VIAA,darbs ,atbildība; gudrība ,atbildība ,pārliecinātība; zinātkāre; kritiskā spriestspēja; pašiedziļināšanās ,
https://www.viaa.gov.lv/lv/media/2549/download,2. klase,Karjera,"2. nodarbība - Vai ir tādi darbi, kas paredzēti zēniem, un darbi, kas paredzēti meitenēm?",2. aktivitāte. Vienādojums ar nezināmajiem,Vienlīdzīgas karjeras iespējas sievietēm un vīriešiem  ,"Infografika skolēnu informēšanai par viņu tiesībām un iespējām izvēlēties izglītības iestādi vai darbu neatkarīgi no dzimuma, kā arī diskusijas veicināšanai par vienlīdzīgām karjeras iespējām.",infografika;,3,www.niid.lv,brīvība; darbs ,centība; gudrība ,atbildība ,pašiniciatīva; pārliecinātība; atvērtība jaunajam; kritiskā spriestspēja; pašiedziļināšanās ,karjera
https://www.vugd.gov.lv/lv/izglitojosi-materiali-berniem-un-jauniesiem,Pirmsskola (5 gadi),Palīdzība,2. nodarbība: Ārkārtas situācijas,Papildmateriāli.,Izglītojoši materiāli bērniem un jauniešiem par drošību,"Valsts ugunsdzēsības un glābšanas dienests ir sagatavojis informatīvi izglītojošus materiālus bērniem un jauniešiem. Pezentācijas, testi un izdrukājamas darba lapas, kas ļaus interesantā veidā izprast svarīgu informāciju par drošību.","Dažādi (darba lapas, krāsojamās lapas, plakāti, prezentācijas);",0,VUGD,dzīvība (veselība) ,atbildība; drosme ,atbildība; rūpes ,izpalīdzība; pašiniciatīva; pašvadība ,Piedāvāto materiālu ir daudz. Tāpēc rūpīgi tos apskatiet un izvērtējiet atbilstību konkrētajam vecumposmam.
https://www.vugd.gov.lv/lv/profesijas-valsts-ugunsdzesibas-un-glabsanas-dienesta ,Pirmsskola (5 gadi),Palīdzība,1. nodarbība: Kurš var mums palīdzēt?,Papildmateriāli,Profesijas Valsts ugunsdzēsības un glābšanas dienestā,"Šeit Jūs atradīsiet elektroniski izglītojošos materiālus bērniem un jauniešiem par VUGD darbības jomām,  par profesijām, kas ir dienestā – ugunsdzēsējs glābējs, ugunsdrošības uzraudzības inspektors, 112 zvanu dispečers un citas.",Prezentācija / darba lapas;,0,VUGD,dzīvība (veselība) ,atbildība; drosme; savaldība ,atbildība ,pārliecinātība; pašvadība; atbildība ,
https://www.youtube.com/watch?v=0I8IbjXe5EM,5. klase,Sociālie tīkli,1. nodarbība: Palikt drošībā,Ierosme. Tests ,Videoblogs - Sociālie tīkli.,"""Šoreiz video blogā parunāsim par sociālo tīklu izmantošanu. Pirmais, pats svarīgākais secinājums -- internetā ir tie paši noteikumi, kas uz ielas! Jo savā ziņā interneta vide ir patiesi kā viena liela pilsētas centrālā iela.""","Video - intervija, saruna
;",10,nakotnesparks blogs,cieņa; kultūra ,atbildība; gudrība; mērenība ,cieņa; atbildība; miers; saskaņa ,kritiskā spriestspēja; attapība; pašvadība ,
https://www.youtube.com/watch?v=1iuZuqQze5E,2. klase,Kaitīgas vielas,3. nodarbība: Pareiza izvēle,,"Kampaņas ""Spēks pateikt NĒ!"" reklāmas klips (pret smēķēšanu)","Lai mazinātu tabakas izstrādājumu un alkohola atkarību izplatību, Veselības ministrijas informatīvā kampaņa ""Spēks pateikt NĒ!” mudina sabiedrību atteikties no atkarību izraisošām vielām. Kampaņas mērķis ir samazināt tabakas izstrādājumu un alkohola popularitāti un lietošanu kā jauniešu vidū, tā arī sabiedrībā kopumā.","Video - intervija, saruna
;",1, Veselības ministrija ,dzīvība (veselība); brīvība ,atbildība; gudrība; drosme; mērenība; savaldība ,rūpes; brīvība; atbildība; harmonija ,pārliecinātība; kritiskā spriestspēja; pašiniciatīva; pašvadība ,
https://www.youtube.com/watch?v=2EcMtHQ6K5U,8. klase,Tava nākotne,1. nodarbība: Laba dzīve,3. aktivitāte.  “Labas dzīves” izpratne,Tiecības. Operdziedātāja Marina Rebeka. Par labā pārsvaru pār ļauno pasaulē.,"Katoļu baznīcas informācijas aģentūras (KABIA) iniciētā projekta ""Tiecības"" astotais video stāsts. Par ticības un garīguma nozīmi savā dzīvē stāsta viena no izcilākajām mūsdienu dziedātājām, pasaules slavu guvusī latviešu operdziedātāja, soprāns Marina Rebeka","Video - dokumentāla filma
;",4, Katoļu baznīcas informācijas aģentūra,brīvība ,gudrība ,cilvēks kā persona; mīlestība; brīvība; patiesība; harmonija ,pateicīgums; pārliecinātība; pašiedziļināšanās; atklātība ,
https://www.youtube.com/watch?v=2j65V5AeCdo,4. klase,Stress,1. nodarbība: Kas ir stress?,1. aktivitāte. Kas tev rada stresu? ,"""Par ko streso Latvijas bērni""","Mazas intervijas ar bērniem par to, kā viņi saprot stresu. Lauris Reiniks cenšas noskaidrot, kādas ir bērnu zināšanas par stresu. Par ko, viņuprāt, visbiežāk izjūt stresu pieaugušie un viņi paši? Kas satraukuma mirkļos palīdz nomierināties?","Video - intervija, saruna
;",4, Lauris Reiniks ,dzīvība (veselība) ,laipnība; gudrība; mērenība ,cilvēks kā persona; rūpes; harmonija; miers ,līdzjūtība; pazemība; pašiedziļināšanās; pašvadība ,
https://www.youtube.com/watch?v=2uNKxfe8dGk&ab_channel=Slim%C4%ABbuprofilaksesunkontrolescentrs,Pirmsskola (5 gadi),Mana veselība,3. nodarbība: Fiziskās aktivitātes ,"Kolēģu ieteiktie materiāli, kas noder nodarbības papildināšanai.",Veselība ir kustībā! Fiziskās aktivitātes 3-5 gadu vecumā,Slimību profilakses un kontroles centra izveidots video par fizisko aktivitāšu nozīmi 3-5 gadus veciem bērniem. ,"Video - ieteikumi, pamācība vecākiem;",3,SPKC,dzīvība (veselība) ,centība; atbildība ,rūpes; cilvēks kā persona ,neatlaidība (noturība); apņēmīgums; līdzdalīgums ,
https://www.youtube.com/watch?v=4R5D25D3AFI,4. klase,Konfliktu risināšana,"2. nodarbība: Situācijas, kurās abas puses ir ieguvējas",Ierosme. Konfliktu risināšanas pieredzi ,Konfliktu risināšanas pieredze,Dziedātājs Kaspars Zlidnis - par viņa konfliktu risināšanas pieredzi. ,"Video - intervija, saruna
;",5, LU kanāls - atbalstslulv ,cieņa; kultūra ,līdzcietība; laipnība; gudrība; mērenība; savaldība ,cieņa; rūpes; harmonija; saskaņa ,līdzjūtība; empātija; kritiskā spriestspēja; pašvadība; draudzīgums ,
https://www.youtube.com/watch?v=5hCIlZ2rTMc,1. klase,Uzturs,1. nodarbība: Kas ir sabalansēts uzturs?,Papildmateriāli,"Ko vislabāk ēst brokastīs, ko pusdienās un ko vakariņās?",–	Garšas eksperts Normunds Baranovskis un uztura speciāliste Olga Ļubina stāsta par veselīgu uzturu visas dienas garumā.,"Video - intervija, saruna
;",25,Rimi Latvija,dzīvība (veselība) ,atbildība; savaldība; mērenība ,rūpes; atbildība ,neatlaidība (noturība); pārliecinātība; kritiskā spriestspēja ,Papildus varat noskatīties “Kā uzbūvēt pašam savu uztura piramīdu?” (23.34 min.) https://www.youtube.com/watch?v=3c76OadqhQc
https://www.youtube.com/watch?v=6OW32j66ht0,4. klase,Konfliktu risināšana,3. nodarbība: Mediatori,1. aktivitāte. Mediatori ,Par prasmi risināt konfliktus: mediatore un komunikācijas trenere Ilze Dzenovska,"Gara un saturīga intervija. Video aprakstā norādīti intervijas pieturpunkti ar laikiem. Ilze Dzenovska šajā sarunā stāsta par: - 5 stratēģijām, kā cilvēki parasti risina konfliktus - kāpēc tās izvēlamies un ko tās cilvēkam maksā; - konflikta anatomiju jeb to, kas ir konflikta pamatā; - bīstamu rīcību, kā cilvēki konfliktus bieži pasliktina un padara grūti risināmus; - metodēm, kas jāņem vērā, lai uzlabotu iespējas sekmīgai konflikta risināšanai.","Video - intervija, saruna
;",90,CILVĒKJAUDA,cieņa; kultūra; Latvijas valsts ,tolerance; laipnība; godīgums; savaldība ,cilvēks kā persona; cieņa; patiesība; harmonija; saskaņa ,empātija; atvērtība jaunajam; pazemība; pašiedziļināšanās; pašvadība; draudzīgums ,
https://www.youtube.com/watch?v=8yfG0-F5kE8,7. klase,Narkotikas alkohols,2. nodarbība: Ieradumi,2. aktivitāte. Cilvēks-morālā autoritāte ,Filma par priesteri Mariušu Kempu | 2009,"Ieskats Līgas Puķītes filmā par Kurzemes diecēzē kalpojošo poļu priesteri Mariušu Kempu. Sarunas ar garīdznieku par aicinājumu, ticību un pilnīgu savas dzīves veltīšanu Dievam. Ainas no priestera dzīves  un kalpošanas. Priestera vecāki un citi ģimenes locekļi dalās atmiņās par Mariuša lēmumu par priesterību. Fragmenti no priestera vadītā svētceļojuma no Liepājas uz Aglonu.","Video - dokumentāla filma
;",25,Vertikāle,kultūra; brīvība ,drosme ,rūpes; mīlestība; patiesība; harmonija ,līdzjūtība; pateicīgums; pazemība; pašiedziļināšanās ,
https://www.youtube.com/watch?v=a426FaOsVvM,5. klase,Kopienas,"2. nodarbība: Kopiena, daudzveidība un dažādība",5. aktivitāte. Cilvēki-morālās autoritātes ,Himnas stāsts. Lidija Lasmane-Doroņina,"Latviešu disidentes Lidijas Doroņinas-Lasmanes personīgais himnas stāsts. ""“To es nevaru iedomāties, ka mums varētu būt cita himna. /../ Mēs esam himnu dziedājuši visos apcietinājuma laikos, pieminējuši savus valsts svētkus, tur, kur latvieši ir kopā.""","Video - intervija, saruna
;",6, Rakstniecības un mūzikas muzejs ,Latvijas valsts; latviešu valoda; kultūra; brīvība ,taisnīgums; atbildība; drosme ,cieņa; brīvība; atbildība; saskaņa; patiesība ,pašiniciatīva; pārliecinātība; neatlaidība (noturība); pazemība; atklātība ,
https://www.youtube.com/watch?v=cdVmPxd4Br8,8. klase,Fiziskā veselība,3. nodarbība: Miegs,4. aktivitāte. Sagatavo raidierakstu ,Kā nepareizs miegs var sagraut tavu veselību?,"Video skaidrots, kā ilgtermiņā neizguļoties cilvēks sevi pakļauj dažādiem veselības riskiem un uzskatu, ka miegu labāk aizstāt ar darbu vai izklaidēm būtu jāgāž.","Video - dokumentāla filma
;",25,Raidījums ''VeseLīga'',dzīvība (veselība) ,atbildība; mērenība ,rūpes; atbildība; miers ,kritiskā spriestspēja ,
https://www.youtube.com/watch?v=Cjh10ddUu98,Pirmsskola (6 gadi),Kopiena,3. nodarbība: Būt daudzveidīgā kopienā,"Alternatīva 2. aktivitātei: “Nenovērsies, atbalsti!”","Nenovērsies, atbalsti!","Izglītojoša īsfilma par Dauna sindromu. Filmiņa parāda iekļaujošas vides nozīmi un rosina diskusiju par atšķirīgo. Filma ir piemērota jebkura vecuma bērniem. To var izmantot, sagatavojoties Pasaules Dauna sindroma dienai (21. marts). ",Video - izglītojoša īsfilma;,12,Žmonių su Dauno sindromu ir jų globėjų asociacija,dzīvība (veselība); cieņa ,tolerance; līdzcietība ,cilvēks kā persona; cieņa; mīlestība ,empātija; pašiedziļināšanās ,papildu informācija par šo iniciatīvu - https://www.e-klase.lv/aktualitates/zinas/par-godu-21-martam-tapusi-izglitojosa-filmina-par-dauna-sindromu?id=21045
https://www.youtube.com/watch?v=Cjh10ddUu98,5. klase,Kopienas,"2. nodarbība: Kopiena, daudzveidība un dažādība","4. aktivitāte. “Nenovērsies, atbalsti!” ","""Nenovērsies, atbalsti!""",Dokumentāla īsfilma par cilvēkiem ar dauna sindromu.,"Video - dokumentāla filma
;",12,"Dauna sindromu atbalsta asociācija ""Žmonių su Dauno sindromu ir jų globėjų""",dzīvība (veselība); cieņa; ģimene ,tolerance; līdzcietība; solidaritāte; laipnība ,cilvēks kā persona; cieņa; mīlestība; atbildība; saskaņa ,izpalīdzība; līdzjūtība; empātija; atvērtība jaunajam; draudzīgums; līdzdalīgums ,
